,officialnamestate,Month,Year,MonthName,TemperatureMean,RainSum,RelativeHumidityMean
69,New South Wales,5,2023,May,11.320614287097822,0.617027170654891,69.69219856702342
70,New South Wales,6,2010,June,9.938943476016938,0.9124593995522042,76.68231274222738
71,New South Wales,6,2011,June,9.888462680785306,1.2003712336098995,75.77011003696829
72,New South Wales,6,2012,June,9.707534284624872,1.650881676080433,78.250596687471
73,New South Wales,6,2013,June,10.372826397790256,2.6754292414269143,81.34824925901005
74,New South Wales,6,2014,June,10.727695401966049,1.0560247530465583,76.76222996744006
75,New South Wales,6,2015,June,10.071011338322041,1.6698066561028615,79.45070310116009
76,New South Wales,6,2016,June,10.426722218624748,4.5576875557927305,80.13605852629544
77,New South Wales,6,2017,June,9.828714060856822,1.0128306294542924,77.92415891051817
78,New South Wales,6,2018,June,10.000642875135034,1.2005336475174013,73.35560804284609
